date,n_week,treatment,sampling_point,sample_code,momilactone_A_ug_g_FW,momilactone_B_ug_g_FW,phytocassane_B_ug_g_FW,phytocassane_B3_ug_g_FW,sakuranetin_ug_g_FW
2017/05/19,0,NoFert,1,17_0519_NoFert_1,NA,NA,NA,NA,NA
2017/05/19,0,NoFert,2,17_0519_NoFert_2,NA,NA,NA,NA,NA
2017/05/19,0,NoFert,3,17_0519_NoFert_3,NA,NA,NA,NA,NA
2017/05/19,0,NoFert,4,17_0519_NoFert_4,NA,NA,NA,NA,NA
2017/05/19,0,NoFert,5,17_0519_NoFert_5,NA,NA,NA,NA,NA
2017/05/19,0,Conv,6,17_0519_Conv_6,NA,NA,NA,NA,NA
2017/05/19,0,Conv,7,17_0519_Conv_7,NA,NA,NA,NA,NA
2017/05/19,0,Conv,8,17_0519_Conv_8,NA,NA,NA,NA,NA
2017/05/19,0,Conv,9,17_0519_Conv_9,NA,NA,NA,NA,NA
2017/05/19,0,Conv,10,17_0519_Conv_10,NA,NA,NA,NA,NA
2017/05/19,0,NC,0,17_0519_NC_0,NA,NA,NA,NA,NA
2017/05/31,1,NoFert,1,17_0531_NoFert_1,NA,NA,NA,NA,NA
2017/05/31,1,NoFert,2,17_0531_NoFert_2,NA,NA,NA,NA,NA
2017/05/31,1,NoFert,3,17_0531_NoFert_3,NA,NA,NA,NA,NA
2017/05/31,1,NoFert,4,17_0531_NoFert_4,NA,NA,NA,NA,NA
2017/05/31,1,NoFert,5,17_0531_NoFert_5,NA,NA,NA,NA,NA
2017/05/31,1,Conv,6,17_0531_Conv_6,NA,NA,NA,NA,NA
2017/05/31,1,Conv,7,17_0531_Conv_7,NA,NA,NA,NA,NA
2017/05/31,1,Conv,8,17_0531_Conv_8,NA,NA,NA,NA,NA
2017/05/31,1,Conv,9,17_0531_Conv_9,NA,NA,NA,NA,NA
2017/05/31,1,Conv,10,17_0531_Conv_10,NA,NA,NA,NA,NA
2017/05/31,1,NC,0,17_0531_NC_0,NA,NA,NA,NA,NA
2017/06/07,2,NoFert,1,17_0607_NoFert_1,1.433251433,0.274031454,0,2.006823199,0
2017/06/07,2,NoFert,2,17_0607_NoFert_2,0.316680317,0,0,0,0
2017/06/07,2,NoFert,3,17_0607_NoFert_3,0.504254254,0,0,0,0
2017/06/07,2,NoFert,4,17_0607_NoFert_4,2.874302874,0.636528029,0,8.141968407,0
2017/06/07,2,NoFert,5,17_0607_NoFert_5,0,0,0,0,0
2017/06/07,2,Conv,6,17_0607_Conv_6,0,0,0,0,0
2017/06/07,2,Conv,7,17_0607_Conv_7,0.22951523,0,0,0,0
2017/06/07,2,Conv,8,17_0607_Conv_8,0.461175461,0,0,0,0
2017/06/07,2,Conv,9,17_0607_Conv_9,0.652080652,0.188306209,0,0,0
2017/06/07,2,Conv,10,17_0607_Conv_10,0,0,0,0,0
2017/06/07,2,NC,0,17_0607_NC_0,NA,NA,NA,NA,NA
2017/06/14,3,NoFert,1,17_0614_NoFert_1,0,0,0,0,0
2017/06/14,3,NoFert,2,17_0614_NoFert_2,0,0,0,0,0
2017/06/14,3,NoFert,3,17_0614_NoFert_3,0.204435204,0,0,0,0
2017/06/14,3,NoFert,4,17_0614_NoFert_4,0.691441441,0,0,0,0
2017/06/14,3,NoFert,5,17_0614_NoFert_5,0.172940798,0.086437613,0,0,0
2017/06/14,3,Conv,6,17_0614_Conv_6,0,0,0,0,0
2017/06/14,3,Conv,7,17_0614_Conv_7,0.197890198,0,0,0,0
2017/06/14,3,Conv,8,17_0614_Conv_8,0,0,0,0,0.045422571
2017/06/14,3,Conv,9,17_0614_Conv_9,0.395233944,0.070450524,0,0,0
2017/06/14,3,Conv,10,17_0614_Conv_10,0.277458309,0,0,0,0
2017/06/14,3,NC,0,17_0614_NC_0,NA,NA,NA,NA,NA
2017/06/21,4,NoFert,1,17_0621_NoFert_1,1.518372305,0.063148912,0.441149383,0.396403953,0
2017/06/21,4,NoFert,2,17_0621_NoFert_2,0.210849147,0.061298142,0,0,0
2017/06/21,4,NoFert,3,17_0621_NoFert_3,0.054483054,0,0.118657299,0,0
2017/06/21,4,NoFert,4,17_0621_NoFert_4,4.482260038,0.851383029,0.967415503,3.463628188,0
2017/06/21,4,NoFert,5,17_0621_NoFert_5,0.248762276,0,0,0,0
2017/06/21,4,Conv,6,17_0621_Conv_6,0.571920235,0.030721092,0,0,0
2017/06/21,4,Conv,7,17_0621_Conv_7,0.098715737,0,0,0,0
2017/06/21,4,Conv,8,17_0621_Conv_8,0.772200772,0.046775166,0,0,0
2017/06/21,4,Conv,9,17_0621_Conv_9,1.940829719,0.372558212,0.19024489,0.903813707,0
2017/06/21,4,Conv,10,17_0621_Conv_10,3.433162893,1.085642605,0.767981096,0.785372971,0
2017/06/21,4,NC,0,17_0621_NC_0,NA,NA,NA,NA,NA
2017/06/28,5,NoFert,1,17_0628_NoFert_1,0,0,0.159473626,0,0
2017/06/28,5,NoFert,2,17_0628_NoFert_2,0,0,0.163344734,0,0
2017/06/28,5,NoFert,3,17_0628_NoFert_3,0,0,0,0,0
2017/06/28,5,NoFert,4,17_0628_NoFert_4,0,0,0,0,0
2017/06/28,5,NoFert,5,17_0628_NoFert_5,0,0,0,0,0
2017/06/28,5,Conv,6,17_0628_Conv_6,0,0,0.070422535,0,0
2017/06/28,5,Conv,7,17_0628_Conv_7,0.046823139,0,0,0,0
2017/06/28,5,Conv,8,17_0628_Conv_8,0,0,0.169883659,0,0
2017/06/28,5,Conv,9,17_0628_Conv_9,0.027908343,0,0,0,0
2017/06/28,5,Conv,10,17_0628_Conv_10,0,0,0,0,0
2017/06/28,5,NC,0,17_0628_NC_0,NA,NA,NA,NA,NA
2017/07/05,6,NoFert,1,17_0705_NoFert_1,0.048844025,0,0,0,0
2017/07/05,6,NoFert,2,17_0705_NoFert_2,1.248077346,0.036258104,0.091563375,0.127457747,0
2017/07/05,6,NoFert,3,17_0705_NoFert_3,0,0,0,0,0
2017/07/05,6,NoFert,4,17_0705_NoFert_4,1.840490798,0.022551837,0,0.19945114,0
2017/07/05,6,NoFert,5,17_0705_NoFert_5,1.935571936,0.085308784,0,0.275846971,0
2017/07/05,6,Conv,6,17_0705_Conv_6,0.203552609,0,0.054129292,0,0
2017/07/05,6,Conv,7,17_0705_Conv_7,0.086133431,0,0.032399202,0,0
2017/07/05,6,Conv,8,17_0705_Conv_8,0.035855856,0,0.022295082,0,0
2017/07/05,6,Conv,9,17_0705_Conv_9,0.026507277,0,0.037831021,0,0
2017/07/05,6,Conv,10,17_0705_Conv_10,0.657894737,0,0.060396894,0,0
2017/07/05,6,NC,0,17_0705_NC_0,NA,NA,NA,NA,NA
2017/07/12,7,NoFert,1,17_0712_NoFert_1,0.044032797,0,0.063547615,0,0
2017/07/12,7,NoFert,2,17_0712_NoFert_2,0.053400174,0,0.067424643,0,0
2017/07/12,7,NoFert,3,17_0712_NoFert_3,0.412716381,0,0.059222384,0,0
2017/07/12,7,NoFert,4,17_0712_NoFert_4,0.069491602,0,0.056429689,0,0
2017/07/12,7,NoFert,5,17_0712_NoFert_5,0.457026369,0.045458745,0,0,0
2017/07/12,7,Conv,6,17_0712_Conv_6,0.208505449,0,0.12921469,0,0
2017/07/12,7,Conv,7,17_0712_Conv_7,0.30203614,0.035999122,0.052117881,0,0
2017/07/12,7,Conv,8,17_0712_Conv_8,0.541680921,0,0.072629176,0,0
2017/07/12,7,Conv,9,17_0712_Conv_9,0.351120351,0,0.0592686,0,0
2017/07/12,7,Conv,10,17_0712_Conv_10,0.018768769,0,0.115018509,0,0
2017/07/12,7,NC,0,17_0712_NC_0,NA,NA,NA,NA,NA
2017/07/19,8,NoFert,1,17_0719_NoFert_1,0.012596667,0,0.179167271,0,0
2017/07/19,8,NoFert,2,17_0719_NoFert_2,0,0,0,0,0
2017/07/19,8,NoFert,3,17_0719_NoFert_3,0.150550551,0,0,0,0
2017/07/19,8,NoFert,4,17_0719_NoFert_4,0.56974783,0,0,0,0
2017/07/19,8,NoFert,5,17_0719_NoFert_5,0,0,0.05569567,0,0
2017/07/19,8,Conv,6,17_0719_Conv_6,0,0,0.057947517,0,0
2017/07/19,8,Conv,7,17_0719_Conv_7,0.025109569,0,0.050675676,0,0
2017/07/19,8,Conv,8,17_0719_Conv_8,0.064779065,0,0.088992974,0,0
2017/07/19,8,Conv,9,17_0719_Conv_9,0.151234885,0,0.052982609,0,0
2017/07/19,8,Conv,10,17_0719_Conv_10,0.014708586,0,0.060698753,0,0
2017/07/19,8,NC,0,17_0719_NC_0,NA,NA,NA,NA,NA
2017/07/26,9,NoFert,1,17_0726_NoFert_1,0.024285155,0,0,0,0
2017/07/26,9,NoFert,2,17_0726_NoFert_2,0.018292941,0,0,0,0
2017/07/26,9,NoFert,3,17_0726_NoFert_3,0.179276266,0,0,0,0
2017/07/26,9,NoFert,4,17_0726_NoFert_4,0,0,0,0,0
2017/07/26,9,NoFert,5,17_0726_NoFert_5,0,0,0,0,0
2017/07/26,9,Conv,6,17_0726_Conv_6,0.068546808,0,0,0,0
2017/07/26,9,Conv,7,17_0726_Conv_7,0.073700461,0,0,0,0
2017/07/26,9,Conv,8,17_0726_Conv_8,0,0,0.047974121,0,0
2017/07/26,9,Conv,9,17_0726_Conv_9,0.022102848,0,0,0.061326523,0
2017/07/26,9,Conv,10,17_0726_Conv_10,0.053674364,0,0,0,0
2017/07/26,9,NC,0,17_0726_NC_0,NA,NA,NA,NA,NA
2017/08/02,10,NoFert,1,17_0802_NoFert_1,0.040293458,0,0.075050149,0,0
2017/08/02,10,NoFert,2,17_0802_NoFert_2,0.080628574,0,0,0,0
2017/08/02,10,NoFert,3,17_0802_NoFert_3,1.23996724,0,0,0,0
2017/08/02,10,NoFert,4,17_0802_NoFert_4,2.323590559,0.01677072,0,0,0
2017/08/02,10,NoFert,5,17_0802_NoFert_5,0.026518454,0,0,0,0
2017/08/02,10,Conv,6,17_0802_Conv_6,0.053122088,0,0,0,0
2017/08/02,10,Conv,7,17_0802_Conv_7,1.01194634,0.00891864,0,0,0
2017/08/02,10,Conv,8,17_0802_Conv_8,0.032979408,0,0,0,0
2017/08/02,10,Conv,9,17_0802_Conv_9,0.08770609,0,0,0,0
2017/08/02,10,Conv,10,17_0802_Conv_10,0.041698325,0,0,0,0
2017/08/02,10,NC,0,17_0802_NC_0,NA,NA,NA,NA,NA
2017/08/09,11,NoFert,1,17_0809_NoFert_1,0.636350636,0,0,0,0
2017/08/09,11,NoFert,2,17_0809_NoFert_2,0.227938782,0,0,0,0
2017/08/09,11,NoFert,3,17_0809_NoFert_3,0.021326636,0,0,0,0
2017/08/09,11,NoFert,4,17_0809_NoFert_4,1.487794849,0.024244971,0,0.221833071,0
2017/08/09,11,NoFert,5,17_0809_NoFert_5,0.861017267,0,0,0.174969898,0
2017/08/09,11,Conv,6,17_0809_Conv_6,0.022035022,0,0,0,0
2017/08/09,11,Conv,7,17_0809_Conv_7,0.086872587,0,0,0,0
2017/08/09,11,Conv,8,17_0809_Conv_8,0.34009009,0.039392405,0,0,0
2017/08/09,11,Conv,9,17_0809_Conv_9,0.60591565,0.01949143,0,0.146515853,0
2017/08/09,11,Conv,10,17_0809_Conv_10,0.024945264,0,0.052576579,0,0
2017/08/09,11,NC,0,17_0809_NC_0,NA,NA,NA,NA,NA
2017/08/16,12,NoFert,1,17_0816_NoFert_1,0,0,0,0,0
2017/08/16,12,NoFert,2,17_0816_NoFert_2,0.103810707,0,0,0,0
2017/08/16,12,NoFert,3,17_0816_NoFert_3,13.16701317,0.097141875,0,1.220439086,0
2017/08/16,12,NoFert,4,17_0816_NoFert_4,10.11167417,0.095991561,0,0.577588802,0
2017/08/16,12,NoFert,5,17_0816_NoFert_5,0,0,0.018319178,0,0
2017/08/16,12,Conv,6,17_0816_Conv_6,0.731165949,0,0,0,0
2017/08/16,12,Conv,7,17_0816_Conv_7,0.745290745,0.109551208,0,0.186634557,0
2017/08/16,12,Conv,8,17_0816_Conv_8,2.128275064,0.111949832,0.083471199,0.207126248,0
2017/08/16,12,Conv,9,17_0816_Conv_9,3.844849033,0.079233091,0,0.074563138,0
2017/08/16,12,Conv,10,17_0816_Conv_10,0.031185031,0,0,0,0
2017/08/16,12,NC,0,17_0816_NC_0,NA,NA,NA,NA,NA
2017/08/23,13,NoFert,1,17_0823_NoFert_1,0,0,0,0.045469281,0
2017/08/23,13,NoFert,2,17_0823_NoFert_2,0.076068286,0,0,0.057159322,0
2017/08/23,13,NoFert,3,17_0823_NoFert_3,0.025577628,0,0,0,0
2017/08/23,13,NoFert,4,17_0823_NoFert_4,0.061361671,0.013167692,0,0,0
2017/08/23,13,NoFert,5,17_0823_NoFert_5,0.180884009,0,0,0,0
2017/08/23,13,Conv,6,17_0823_Conv_6,0.255024255,0.022029211,0,0,0
2017/08/23,13,Conv,7,17_0823_Conv_7,0.425425425,0.0294421,0,0,0
2017/08/23,13,Conv,8,17_0823_Conv_8,0.055113937,0.018108712,0,0,0
2017/08/23,13,Conv,9,17_0823_Conv_9,0.061600062,0.032312741,0,0,0
2017/08/23,13,Conv,10,17_0823_Conv_10,0.090371622,0.020221519,0,0,0
2017/08/23,13,NC,0,17_0823_NC_0,NA,NA,NA,NA,NA
2017/08/30,14,NoFert,1,17_0830_NoFert_1,1.002054686,0.041572285,0,0,0
2017/08/30,14,NoFert,2,17_0830_NoFert_2,0.838643522,0.044046516,0,0,0
2017/08/30,14,NoFert,3,17_0830_NoFert_3,0.948224489,0.03908782,0,0,0
2017/08/30,14,NoFert,4,17_0830_NoFert_4,2.155032731,0.072488844,0,0.110880591,0
2017/08/30,14,NoFert,5,17_0830_NoFert_5,0.371424056,0.031623362,0,0,0
2017/08/30,14,Conv,6,17_0830_Conv_6,6.07128868,0.152499124,0,0.43309307,0
2017/08/30,14,Conv,7,17_0830_Conv_7,10.24774775,0.156962025,0.192395264,0.468258746,0
2017/08/30,14,Conv,8,17_0830_Conv_8,2.465623518,0.112991339,0.120793788,0.13519651,0
2017/08/30,14,Conv,9,17_0830_Conv_9,18.53839399,0.409450258,0.363969935,1.734416873,0
2017/08/30,14,Conv,10,17_0830_Conv_10,2.90147799,0.058381008,0,0,0
2017/08/30,14,NC,0,17_0830_NC_0,NA,NA,NA,NA,NA