"","Sample_Name2","Site","date","Time","Week","plot","treatment","sample_nc","filt045_ml","filt022_ml","pH","EC","TDS","Temp.","WaterLevel..cm.","Comment","PRO_dada2_input","PRO_dada2_prop","PRO_STD_all","PRO_NonSTD_all","PRO_STD_prop","PRO_STD_r2","PRO_STD_coef","PRO_dna_copy_sum","ITS_dada2_input","ITS_dada2_prop","ITS_STD_all","ITS_NonSTD_all","ITS_STD_prop","ITS_STD_r2","ITS_STD_coef","ITS_dna_copy_sum","COI_dada2_input","COI_dada2_prop","COI_STD_all","COI_NonSTD_all","COI_STD_prop","COI_STD_r2","COI_STD_coef","COI_dna_copy_sum","EUK_dada2_input","EUK_dada2_prop","EUK_STD_all","EUK_NonSTD_all","EUK_STD_prop","EUK_STD_r2","EUK_STD_coef","EUK_dna_copy_sum"
"S001","S001","Ogura","2017-05-19","15:00",0,"P01","NF","sample",30,30,6.75,0.18,0.09,29.3,"Med","From west point",35628,0.899825979566633,20572,11487,0.641691880595153,0.987056789572313,0.228967547169811,167228.939093289,59,0.610169491525424,17,19,0.472222222222222,0.950792269646455,0.0216037735849057,2931.58660844251,24345,0.981638940234134,14001,9897,0.585864925935225,0.888350307584232,150.365278592375,219.399054813928,56307,0.96760615909212,39854,14629,0.73149422755722,0.992962174243111,21.5311006585136,2264.78590698762
"S002","S002","Ogura","2017-05-31","9:10",1,"P01","NF","sample",100,30,6.5,0.21,0.11,29.2,"Med","",22789,0.894861556013866,7457,12936,0.365664688863826,0.976758571138922,0.0856762264150944,503290.140150288,4629,0.682652840786347,1394,1766,0.441139240506329,0.986071860907136,1.79433962264151,3280.68699614441,79668,0.971331023748557,9751,67633,0.126007960301871,0.95198353504372,104.304046920821,648.421628849563,34822,0.974872207225317,3661,30286,0.107844581259021,0.980351310058987,1.86999059266228,53986.0113358149
"S003","S003","Ogura","2017-06-07","9:35",2,"P01","NF","sample",50,30,7.46,0.21,0.1,21.2,"Med","rain",28006,0.893665643076484,12068,12960,0.48217995844654,0.992376915715298,0.127428679245283,339013.166077368,12075,0.731594202898551,5313,3521,0.601426307448494,0.963844137990132,7.57396226415094,1549.60722767509,65141,0.986107060069695,6803,57433,0.105906345351516,0.909524234820441,70.7321994134897,1623.95628797728,49941,0.978574718167438,4974,43897,0.101778150641485,0.995773499228043,2.70476011288805,54098.4513325639
"S004","S004","Ogura","2017-06-14","9:20",3,"P01","NF","sample",40,30,6.64,0.19,0.11,27.2,"Med","sunny",26326,0.839968092380156,8930,13183,0.403834848279293,0.996794660335316,0.096051320754717,457498.480895953,13620,0.789867841409692,4299,6459,0.399609592861127,0.991041222529392,5.85905660377359,3674.65301259138,60376,0.977110109977474,610,58384,0.0103400345797878,0.826464134071058,6.44222873900293,22656.7552804079,52349,0.985061796786949,6720,44847,0.130315899703299,0.996364266585697,3.64801505174036,40978.4493429329
"S005","S005","Ogura","2017-06-21","9:54",4,"P01","NF","sample",100,30,7.71,0.07,0.03,20.8,"High","heavy rain",24325,0.909270298047276,13115,9003,0.592955963468668,0.994327416079899,0.144852830188679,207175.793257963,7156,0.710732252655115,4252,834,0.836020448289422,0.982340487627364,5.91584905660378,469.924092619761,75542,0.982632178126076,2815,71415,0.0379226727738111,0.946482761098692,30.7697360703812,2320.94938470215,49448,0.968613492962304,32600,15296,0.680641389677635,0.986198829910179,18.0387206020696,2826.512355916
"S006","S006","Ogura","2017-06-28","9:43",5,"P01","NF","sample",50,30,7.03,0.14,0.07,25.4,"High","rain",14398,0.896235588276149,1151,11753,0.0891971481711097,0.980177330897072,0.0132883018867925,2948207.15245836,33405,0.801526717557252,3588,23187,0.134005602240896,0.993247829754299,4.9777358490566,15527.1397164733,61843,0.976893100270039,13587,46827,0.224898202403416,0.961974532707628,146.33853372434,639.981812148107,48206,0.969464382027134,5695,41039,0.121859887876065,0.998662740620213,3.05648165569144,44756.2531291308
"S007","S007","Ogura","2017-07-05","9:34",6,"P01","NF","sample",50,30,7,0.07,0.04,27,"High","rain",23717,0.892102711135472,8363,12795,0.395264202665658,0.985159024064708,0.0947396226415095,450181.231578102,7326,0.713622713622714,4378,850,0.837413925019128,0.993708123402872,5.89905660377358,480.302787995096,37712,0.985230165464574,5118,32037,0.13774727492935,0.97983398039839,58.716715542522,1091.23951174684,32132,0.779721150255197,9177,15877,0.366288816157101,0.987267607662486,5.02722483537159,10527.3456164053
"S008","S008","Ogura","2017-07-12","9:29",7,"P01","NF","sample",50,30,6.73,0.11,0.05,32,"Med","cloudy",16661,0.839085288998259,1605,12375,0.11480686695279,0.991459757513667,0.0175169811320755,2354857.81990517,5541,0.707092582566324,3461,457,0.883358856559469,0.995756229576867,4.46216981132075,341.388471919773,46973,0.982819917825134,3688,42478,0.0798856301174024,0.951753248720823,43.3492082111437,1959.80511538295,35843,0.981139971542561,5855,29312,0.166491312878551,0.996255982633515,3.1549012229539,30969.8021465112
"S009","S009","Ogura","2017-07-19","9:31",8,"P01","NF","sample",50,30,7.17,0.08,0.04,32.1,"Low (1 cm)","sunny",27726,0.901211858904999,2937,22050,0.117541121383119,0.983440711847989,0.0333071698113208,2206732.07649787,10905,0.716460339293902,4133,3680,0.528990144630744,0.986149745911157,5.76377358490566,2128.23534546724,38636,0.979837457293716,6584,31273,0.173917637425047,0.904861645293094,73.6319061583577,849.441543255511,79975,0.970553297905596,17591,60029,0.226629734604483,0.999721312614095,9.32316086547507,21462.3205105951
"S010","S010","Ogura","2017-07-26","9:24",9,"P01","NF","sample",50,30,7.2,0.13,0.06,29,"High","cloudy",20711,0.877794408768287,1362,16818,0.0749174917491749,0.984192499156125,0.0154505660377358,3628346.03360695,11785,0.744845142129826,4608,4170,0.524948735475051,0.9615827677397,6.24367924528302,2226.25145430096,79508,0.97865623585048,14914,62897,0.191669558288674,0.895149686942298,158.859824046921,791.855340106923,58896,0.968741510459114,8495,48560,0.14889142055911,0.997671521172187,4.55665098777046,35523.1653907877
"S011","S011","Ogura","2017-08-02","9:26",10,"P01","NF","sample",50,30,6.82,0.16,0.08,30,"High","sunny",34239,0.887146236747569,10056,20319,0.331061728395062,0.989603308772693,0.112441509433962,602357.619894602,9142,0.749507766353096,4099,2753,0.598219497956801,0.915892022926235,5.12603773584906,1790.20661562622,37047,0.971954544227603,4310,31698,0.119695623194846,0.947033239132038,47.7269208211143,1328.30693682534,67751,0.971601895174979,41803,24024,0.635043371261033,0.991445245222452,22.390103480715,3576.58016493648
"S012","S012","Ogura","2017-08-23","9:30",13,"P01","NF","sample",100,30,7.17,0.16,0.06,30.8,"Med","sunny/cloudy",25702,0.795463388063186,1894,18551,0.092638786989484,0.993157744080152,0.0208535849056604,2965277.52644982,94354,0.921296394429489,5881,81047,0.0676536904104546,0.994873097097121,7.9316037735849,34060.7869957378,64879,0.966599361889055,2444,60268,0.038971807628524,0.908467239775133,27.4205278592375,2197.91538329912,66012,0.962915833484821,6936,56628,0.10911836888805,0.998111023961925,3.73070555032926,50596.3275454273
"S013","S013","Ogura","2017-08-30","9:40",14,"P01","NF","sample",100,30,6.94,0.14,0.07,26.5,"High","sunny/cloudy",25723,0.842786611203981,4115,17564,0.189815028368467,0.986217576934752,0.0468709433962264,1249103.65408564,32270,0.870003098853424,6098,21977,0.217203918076581,0.976630819364493,8.73971698113208,8382.04106892916,60636,0.97926974074807,3188,56191,0.0536890146348036,0.909824461068907,34.3845161290322,1634.19487391171,71355,0.973863078971341,17217,52273,0.247762267952223,0.997838600033531,9.27715898400752,18781.9712515115
"S014","S014","Ogura","2017-05-19","15:00",0,"P02","NF","sample",30,30,6.38,0.18,0.09,29.3,"Med","From west point",42632,0.907182398198536,25232,13443,0.652411118293471,0.988094156821928,0.277330566037736,161576.131474464,13849,0.746624305003971,7042,3298,0.681044487427466,0.99634299522617,9.62820754716981,1141.78400075774,25203,0.979486569059239,11553,13133,0.46799805557806,0.938391742225626,125.071202346041,350.013958813215,75302,0.968035377546413,54035,18860,0.741271692159956,0.993559662434006,29.0441956726246,2164.51739188362
"S015","S015","Ogura","2017-05-31","9:10",1,"P02","NF","sample",100,30,6.24,0.2,0.1,28.2,"Med","",28776,0.855365582429803,10087,14527,0.40980742666775,0.989018192755139,0.113354716981132,427184.10510781,25695,0.691924498929753,4562,13217,0.256594859103437,0.998326363221573,5.91283018867924,7451.02857021292,66371,0.976480691868437,4758,60052,0.0734145965128838,0.938416454036447,52.8703812316715,1135.83444266951,45890,0.960230987143168,4070,39995,0.0923635538409168,0.993698868648854,2.23633113828787,59614.0099219543
"S016","S016","Ogura","2017-06-07","9:35",2,"P02","NF","sample",50,30,7.15,0.17,0.09,21.4,"Med","rain",27240,0.891152716593245,11469,12806,0.472461380020597,0.987319645221433,0.130719245283019,326552.272959084,7918,0.742359181611518,3255,2623,0.553759782238857,0.989409896625177,4.34641509433962,2011.61949412514,47731,0.972638327292535,1179,45246,0.0253957996768982,0.973762038615694,13.2776539589443,6815.36062619265,51526,0.983794589139464,4753,45938,0.09376417904559,0.999186237566318,2.54771401693321,60103.5538717924
"S017","S017","Ogura","2017-06-14","9:20",3,"P02","NF","sample",40,30,6.56,0.21,0.11,28.6,"Med","sunny",37039,0.883312184454224,14968,17749,0.457499159458386,0.991196235682867,0.165880754716981,356661.828759321,14207,0.757161962412895,4766,5991,0.443060332806545,0.985042302834515,6.32066037735849,3159.47999223869,57850,0.976162489196197,220,56251,0.00389580492642241,0.936687858659345,2.38076246334311,59068.2616032715,53043,0.98107196048489,12838,39201,0.246699590691597,0.996773569962416,6.97349012229539,18738.1064156419
"S018","S018","Ogura","2017-06-21","9:54",4,"P02","NF","sample",100,30,7.89,0.07,0.03,21,"High","heavy rain",22292,0.874573838148215,4068,15428,0.208658186294625,0.986948397835909,0.0459215094339622,1119881.887607,5381,0.680914328191786,2484,1180,0.677947598253275,0.995828096517031,3.32877358490566,1181.61636200463,56964,0.980443789059757,6633,49217,0.11876454789615,0.881830419189839,70.550146627566,697.617260242084,34001,0.981382900502926,13071,20297,0.391722608487173,0.995441570004066,7.10462841015993,9522.90010972483
"S019","S019","Ogura","2017-06-28","9:43",5,"P02","NF","sample",50,30,7.02,0.14,0.07,25.4,"High","rain",21427,0.876370933868484,2733,16045,0.145542656299925,0.976098126639502,0.0316022641509434,1692389.28824455,10602,0.728824750047161,2530,5197,0.327423320823088,0.907436144748714,3.12481132075472,5543.8013867504,49842,0.983949279723928,5410,43632,0.110313608743526,0.943322116751275,59.9985923753666,1454.43412162162,49510,0.971722884265805,17183,30927,0.357160673456662,0.990498217772987,9.47648165569144,10878.5099518537
"S020","S020","Ogura","2017-07-05","9:34",6,"P02","NF","sample",50,30,7.01,0.07,0.03,27.3,"High","rain",27977,0.856310540801373,8614,15343,0.359560879909838,0.999441690805235,0.0916573584905661,557983.932502217,5558,0.66552716804606,2277,1422,0.615571776155718,0.96257884322804,3.39330188679245,1396.86952653674,44859,0.986535589290889,4870,39385,0.110044062817761,0.925055842631037,52.0727272727273,1512.69203910615,45977,0.964786741196685,19384,24974,0.436989945443888,0.991440787919908,10.6866792097836,7789.76003981248
"S021","S021","Ogura","2017-07-12","9:29",7,"P02","NF","sample",50,30,6.74,0.1,0.05,32.3,"Med","cloudy",24852,0.835828102366007,2072,18700,0.0997496630078952,0.986461783355838,0.023497358490566,2652780.45437996,7738,0.587361075213233,2891,1654,0.636083608360836,0.990184589142226,3.69377358490566,1492.60186273008,37882,0.982419090861095,4907,32309,0.131851891659501,0.949157109086542,50.164926686217,1288.11112202331,46568,0.980286892286549,5210,40440,0.114129244249726,0.997943752401007,2.80769520225776,48010.9094076883
"S022","S022","Ogura","2017-07-19","9:31",8,"P02","NF","sample",50,30,7.22,0.08,0.04,32.8,"Low (1 cm)","sunny",21342,0.896588885765158,463,18672,0.024196498562843,0.964534298659059,0.00549433962264151,11328021.9780221,15330,0.767971298108284,2870,8903,0.243778136413828,0.956427076026855,3.81754716981132,7773.75245061696,58523,0.98359619294978,5434,52129,0.0944009172558762,0.94067129869614,59.52,1751.64650537635,51632,0.967984970560892,2557,47422,0.0511614878248864,0.994583209714307,1.40935089369708,112160.381094781
"S023","S023","Ogura","2017-07-26","9:24",9,"P02","NF","sample",50,30,7.18,0.12,0.06,29.3,"High","cloudy",18437,0.817595053425178,421,14653,0.027928884171421,0.979347513773044,0.00449207547169811,10873221.8862008,11835,0.711026615969582,2093,6322,0.248722519310755,0.977498498277105,2.76754716981132,7614.44414144168,35027,0.974162788705855,2356,31766,0.0690463630502315,0.968379505654073,24.4297947214076,2600.59491798872,29032,0.967518600165335,2762,25327,0.0983303072377087,0.991206351136522,1.47106302916275,57389.3379547329
"S024","S024","Ogura","2017-08-02","9:26",10,"P02","NF","sample",50,30,6.83,0.15,0.08,30.6,"High","sunny",26896,0.887418203450327,10579,13289,0.443229428523546,0.990314187299356,0.117177358490566,378030.937352393,3260,0.682822085889571,1268,958,0.5696316262354,0.99683979109886,1.6688679245283,1913.47277181081,24734,0.975903614457831,12568,11570,0.52067279807772,0.903038172875615,133.664281524927,173.120296133,18336,0.979548429319372,14404,3557,0.801959801792773,0.983948192489923,7.16797742238947,1654.11607319406
"S025","S025","Ogura","2017-08-23","9:30",13,"P02","NF","sample",100,30,7.19,0.11,0.05,31.2,"Low","sunny/cloudy",16830,0.733036244800951,735,11602,0.0595768825484315,0.911703135719576,0.00793735849056604,4872317.83461687,51345,0.910429447852761,1964,44782,0.0420142899927266,0.983815551392676,2.45424528301887,60822.499839836,62644,0.96880786667518,5528,55162,0.0910858461031471,0.942232032256449,63.1272727272727,873.822004608296,46756,0.956454786551459,1150,43570,0.0257155635062612,0.997271806937677,0.627300094073378,231521.300100975
"S026","S026","Ogura","2017-08-30","9:40",14,"P02","NF","sample",100,30,6.95,0.14,0.07,26.3,"High","sunny/cloudy",13469,0.861311158957606,936,10665,0.0806826997672614,0.973471715100659,0.0109298113207547,3252572.15854169,9951,0.860114561350618,1296,7263,0.151419558359621,0.965779405004265,1.8411320754717,13149.5183439229,47179,0.977447593208843,8340,37775,0.18085221728288,0.863583508032639,89.4019941348974,422.529725041724,27499,0.962144077966472,8875,17583,0.335437296847834,0.999091717908038,4.67693320790216,12531.7162753088
"S027","S027","Ogura","2017-05-19","15:00",0,"P03","NF","sample",30,30,5.69,0.18,0.09,29.4,"Med","From west point",23391,0.870420247103587,4898,15462,0.24056974459725,0.976826699274762,0.0563645283018868,914404.884645769,9291,0.684425788397374,6219,140,0.977983959742098,0.971885407101425,8.70698113207547,53.5968390866867,26623,0.983134883371521,13669,12505,0.52223580652556,0.92715388468459,152.678475073314,273.013817522853,39147,0.966817380642195,26089,11759,0.6893098710632,0.993422239676344,14.1251740357479,2774.95106024662
"S028","S028","Ogura","2017-06-07","9:35",2,"P03","NF","sample",50,30,6.69,0.25,0.12,21.1,"Med","rain",17877,0.826704704368742,2904,11875,0.196495026727113,0.987206190042245,0.0328656603773585,1204397.93020569,32383,0.83645740048791,1806,25281,0.0666740502824233,0.987143351603069,2.19301886792453,38426.4819753935,68453,0.982338246680204,1330,65914,0.0197787163166974,0.755988875080084,13.5244574780059,9747.3780530114,32556,0.976317729450792,2748,29037,0.0864558754129306,0.998729788952185,1.48222013170273,65300.6917999487
"S029","S029","Ogura","2017-06-14","9:20",3,"P03","NF","sample",40,30,6.55,0.21,0.11,28.3,"Med","sunny",1945,0.855526992287918,408,1256,0.245192307692308,0.963272214818924,0.00417132075471698,1003678.90959533,27242,0.812128331253212,2297,19827,0.103823901645272,0.988808422905935,3.02283018867925,21863.6165033394,52100,0.980153550863724,597,50469,0.0116907531429914,0.953438867621461,6.26111436950147,20151.7641355665,30625,0.980669387755102,2162,27871,0.0719874804381847,0.996234807887848,1.18575729068674,78349.367162253
"S030","S030","Ogura","2017-06-21","9:54",4,"P03","NF","sample",100,30,7.82,0.07,0.03,21.1,"High","heavy rain",23249,0.92623338638221,12670,8864,0.588371877031671,0.996279962935609,0.130891320754717,225734.345839745,313,0.648562300319489,158,45,0.778325123152709,0.983131689157748,0.2,750.000000000001,54158,0.984434432586137,11569,41746,0.216993341461127,0.905304471783654,132.639530791789,314.732717695834,36456,0.96886657888962,23705,11616,0.671130488944254,0.990374485047932,12.6664722483537,3056.88902488476
"S031","S031","Ogura","2017-06-28","9:43",5,"P03","NF","sample",50,30,6.98,0.14,0.07,25.5,"High","rain",16445,0.879477044694436,2341,12122,0.161861301251469,0.976612801312841,0.0271811320754717,1486570.41047714,12613,0.793308491239198,1729,8277,0.172796322206676,0.986666245911364,2.29330188679245,12030.6882224691,51058,0.977515766383329,4908,45002,0.0983370066119014,0.783267201721143,48.8136070381232,1843.83014206893,15527,0.972692728795002,2680,12423,0.177448189101503,0.998803329551361,1.43905926622766,28775.7432732791
"S032","S032","Ogura","2017-07-05","9:34",6,"P03","NF","sample",50,30,6.99,0.07,0.03,28,"High","rain",21987,0.907809159958157,9218,10742,0.461823647294589,0.984533093212383,0.103398490566038,346297.769635217,1914,0.467084639498433,540,354,0.604026845637584,0.978536723199239,0.774811320754717,1522.95141848289,49949,0.978978558129292,2442,46457,0.0499396715679257,0.962106748694919,28.1609384164223,3299.3928904662,3859,0.973827416429127,1178,2580,0.313464608834486,0.939802760527952,0.557102539981186,15437.0145221208
"S033","S033","Ogura","2017-07-12","9:29",7,"P03","NF","sample",50,30,6.75,0.11,0.05,32.9,"Med","cloudy",27377,0.832560178251817,2114,20679,0.0927477734392138,0.973963342594479,0.0242490566037736,2842584.81170237,11693,0.618831779697255,4699,2537,0.649391929242676,0.96365466381765,6.15018867924528,1375.02556550906,80550,0.983823711980137,4974,74273,0.062765782931846,0.966858589729122,56.3087390029325,2638.0629833011,50792,0.981414395967869,6327,43521,0.126925854597978,0.991065218862555,3.47727187206021,41719.4873848191
"S034","S034","Ogura","2017-07-19","9:31",8,"P03","NF","sample",50,30,7.23,0.06,0.03,34.4,"Low (1 cm)","sunny",23549,0.896683510977112,633,20483,0.0299772684220496,0.969824340303787,0.00746566037735849,9145428.96616788,14479,0.691415152980178,2245,7766,0.224253321346519,0.923765933138851,2.95745283018868,8753.02774144842,56900,0.980615114235501,726,55071,0.0130114522286144,0.905299493439634,7.52140762463343,14643.8014660013,30798,0.97665432820313,3463,26616,0.115130157252568,0.992872807195078,1.79187206020696,49512.4635124627
"S035","S035","Ogura","2017-07-26","9:24",9,"P03","NF","sample",50,30,7.18,0.12,0.06,29.5,"High","cloudy",25769,0.859365904769296,552,21593,0.0249266200045157,0.938983302694371,0.00675924528301887,10648624.7580764,26299,0.776759572607323,3637,16791,0.178039945173292,0.973934786933315,5.33094339622641,10499.0797763149,78294,0.978670140751526,5146,71478,0.0671591146377114,0.980190858485893,57.7360703812317,2476.0258025193,64019,0.961745731735891,2389,59181,0.0388013643007958,0.97888181883632,1.3498400752587,146143.238458962
"S036","S036","Ogura","2017-08-02","9:26",10,"P03","NF","sample",50,30,6.85,0.15,0.08,32.1,"High","sunny",33669,0.81918084885206,10864,16717,0.393894347558102,0.985180326041169,0.122806037735849,453750.763078871,9528,0.81024349286314,4317,3403,0.55919689119171,0.910716666133795,5.1238679245283,2213.82235069566,51409,0.979089264525667,8344,41990,0.165772638772996,0.934672561170211,98.8396480938416,849.659034806228,54121,0.97003011769923,32472,20027,0.618526067163184,0.992532022499504,17.70884289746,3769.67976130399
"S037","S037","Ogura","2017-08-23","9:30",13,"P03","NF","sample",100,30,7.14,0.1,0.05,31.2,"Low","sunny/cloudy",23513,0.790754050950538,455,18138,0.0244715753240467,0.990160399625907,0.00497433962264151,12154377.1810046,115721,0.926331435089569,2682,104514,0.0250195902832195,0.951204104023345,3.47896226415094,100139.056864712,39919,0.978456374157669,1239,37820,0.0317212422233032,0.928500028398631,13.5526099706745,2790.60639108152,75972,0.960182698889064,1496,71451,0.0205080400838965,0.987327666199357,0.780677328316087,305081.230569007
"S038","S038","Ogura","2017-08-30","9:40",14,"P03","NF","sample",100,30,6.95,0.14,0.07,26.4,"High","sunny/cloudy",26197,0.806771767759667,3497,17638,0.165460137213154,0.975359201263203,0.0406022641509434,1448030.90573381,61360,0.928503911342894,1588,55385,0.0278728520527267,0.949443896349742,1.97396226415094,93525.9351303132,71776,0.975799710209541,15007,55032,0.214266337326347,0.879352842896306,154.704516129032,355.723293521055,81148,0.963757578745009,13763,64444,0.175981689618576,0.997712085977884,7.3928127939793,29057.0503162584
